"UTM Easting","UTM Northing","Cotton Yield"
713201,6787179,8.10043070050796
713201,6787177,8.21988024500462
713201,6787175,8.26803633787008
713201,6787173,8.26638249125303
713201,6787171,8.2062996761641
713201,6787169,8.14741725387744
713201,6787167,8.08531030265331
713201,6787165,8.0746562764932
713201,6787163,8.06406287249444
713201,6787161,8.10044260764
713201,6787159,8.11726817115415
713201,6787157,8.14124511800825
713201,6787155,8.15861501821439
713201,6787153,8.19976890617477
713201,6787151,8.20288292339219
713201,6787149,8.20264774096769
713201,6787147,8.14460551678043
713201,6787145,8.12724094606561
713203,6787321,6.42460820644399
713203,6787319,6.4854051126101
713203,6787317,6.53809576462072
713203,6787315,6.59956819196645
713203,6787313,6.66104061931218
713203,6787311,7.15811409798951
713203,6787309,7.59995719014715
713203,6787307,7.99529048313029
713203,6787305,8.35109044681512
713203,6787303,8.60951328994001
713203,6787301,8.3865226001335
713203,6787299,8.1838037912185
713203,6787297,7.99871270481784
713203,6787295,7.82904587561724
713203,6787293,7.76291395641345
713203,6787291,7.72160382907353
713203,6787289,7.68029370173362
713203,6787287,7.64027077184875
713203,6787285,7.60024784196388
713203,6787283,7.60153503941893
713203,6787281,7.57508931311161
713203,6787279,7.43771189175484
713203,6787277,7.33207696400391
713203,6787275,7.32553110943562
713203,6787273,7.35201494592821
713203,6787271,7.4131758133508
713203,6787269,7.59915659015811
713203,6787267,7.7659958902398
713203,6787265,7.83374611713885
713203,6787263,7.86846665297701
713203,6787261,7.89492893599156
713203,6787259,7.91680886157304
713203,6787257,8.14994396874805
713203,6787255,8.34759342767283
713203,6787253,8.55177857386198
713203,6787251,8.76381355297519
713203,6787249,8.97511425641232
713203,6787247,8.71986513852102
713203,6787245,8.5349286596981
713203,6787243,8.36783294731749
713203,6787241,8.22562129391459
713203,6787239,8.0725799786013
713203,6787237,8.17314679550885
713203,6787235,8.22873066912227
713203,6787233,8.19402986349794
713203,6787231,8.11675952797127
713203,6787229,7.87583466390497
713203,6787227,7.57235197785692
713203,6787225,7.34572285028312
713203,6787223,7.25673533553062
713203,6787221,7.18455587009138
713203,6787219,7.282792871058
713203,6787217,7.41749026446117
713203,6787215,7.4474928335683
713203,6787213,7.44529225686163
713203,6787211,7.47185359386699
713203,6787209,7.55585341802361
713203,6787207,7.67416802348539
713203,6787205,7.85773697020813
713203,6787203,8.03450230619517
713203,6787201,8.12494175083781
713203,6787199,8.09352696902812
713203,6787197,7.96051775361036
713203,6787195,7.79205247444574
713203,6787193,7.57029256969799
713203,6787191,7.45949397197345
713203,6787189,7.48174106970566
713203,6787187,7.62193516775384
713203,6787185,7.79566242609619
713203,6787183,7.98795868806089
713203,6787181,8.12060669119558
713203,6787179,8.18323429599087
713203,6787177,8.23104123076607
713203,6787175,8.22770202386688
713203,6787173,8.20674096154135
713203,6787171,8.15358149699597
713203,6787169,8.1045037847146
713203,6787167,8.04630885696733
713203,6787165,8.03184059027163
713203,6787163,8.03420586267245
713203,6787161,8.10522053089689
713203,6787159,8.1598019712469
713203,6787157,8.23099713881992
713203,6787155,8.30475767056674
713203,6787153,8.40230674896708
713203,6787151,8.44394489135955
713203,6787149,8.47706952079779
713203,6787147,8.45886570834781
713203,6787145,8.44838540080405
713205,6787333,7.84158150082998
713205,6787331,7.52274513977717
713205,6787329,7.2464202935314
713205,6787327,6.94883968988211
713205,6787325,6.63266029850474
713205,6787323,6.35367848258354
713205,6787321,6.40490550537164
713205,6787319,6.46691716453619
713205,6787317,6.52272765778429
713205,6787315,6.58420008513002
713205,6787313,6.64640432708701
713205,6787311,7.14116841121642
713205,6787309,7.57954596034639
713205,6787307,7.98139204704885
713205,6787305,8.35109044681512
713205,6787303,8.61547051998734
713205,6787301,8.42159475599984
713205,6787299,8.22771899201234
713205,6787297,8.03384322802484
713205,6787295,7.83996746403734
713205,6787293,7.77117598188143
713205,6787291,7.72986585454152
713205,6787289,7.6885557272016
713205,6787287,7.64827535782572
713205,6787285,7.60825242794086
713205,6787283,7.60127759992792
713205,6787281,7.60256479738296
713205,6787279,7.46518737602619
713205,6787277,7.32678019670539
713205,6787275,7.28720465107622
713205,6787273,7.31368848756881
713205,6787271,7.34558540667622
713205,6787269,7.52755890670521
713205,6787267,7.71961286680055
713205,6787265,7.7938042900084
713205,6787263,7.81022988005706
713205,6787261,7.86302914894968
713205,6787259,7.90938284246008
713205,6787257,8.16072398932221
713205,6787255,8.40163944293713
713205,6787253,8.63425229275573
713205,6787251,8.83631743107241
713205,6787249,8.9874690557426
713205,6787247,8.71729927538396
713205,6787245,8.46798778721379
713205,6787243,8.25819990104882
713205,6787241,8.07215190185848
713205,6787239,7.94924466564722
713205,6787237,8.06018728865353
713205,6787235,8.18248442909026
713205,6787233,8.21989933956085
713205,6787231,8.19371774319305
713205,6787229,8.0332307410077
713205,6787227,7.77714444006383
713205,6787225,7.52951747995487
713205,6787223,7.40138918408255
713205,6787221,7.30447668679438
713205,6787219,7.33214031636801
713205,6787217,7.41715154399388
713205,6787215,7.4826821976548
713205,6787213,7.52078441247552
713205,6787211,7.57092917229957
713205,6787209,7.68955921703507
713205,6787207,7.83600752425383
713205,6787205,8.0238409126827
713205,6787203,8.17904393768487
713205,6787201,8.30820253051794
713205,6787199,8.27826254181487
713205,6787197,8.16077825371828
713205,6787195,7.99080698644976
713205,6787193,7.82870549348099
713205,6787191,7.70817736767792
713205,6787189,7.72084718126759
713205,6787187,7.84167962625888
713205,6787185,8.01690807362864
713205,6787183,8.16979751551046
713205,6787181,8.27191443851514
713205,6787179,8.31331941906203
